mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_80215,OC1C2OC(=N)C12C#C,2.30911,1.61767,1.19613,2.3968,71.38,-0.2467,-0.0006,0.2461,1037.3102,0.098952,-436.608941,-436.600959,-436.600015,-436.641349,30.459
gdb_38562,C1C2OC3C4C=CC13C24,3.62779,2.04768,1.72903,1.3033,75.21,-0.219,0.0061,0.2251,817.0529,0.138958,-384.614538,-384.608953,-384.608009,-384.643988,25.205
gdb_128434,COC(=N)N1C=NN=C1,4.59666,1.11509,0.90251,4.6009,68.56,-0.266,-0.0334,0.2325,1220.8171,0.113877,-450.138295,-450.130258,-450.129314,-450.172466,28.251
gdb_46047,O=C1CC(CN1)N1CC1,4.51768,0.96556,0.8288,4.0801,76.78,-0.238,0.0362,0.2742,1365.3572,0.161073,-419.221121,-419.212883,-419.211939,-419.254484,31.115
gdb_92629,CC1OC2COCC2O1,2.61928,1.61948,1.55335,1.2958,70.36,-0.2408,0.0839,0.3247,980.178,0.160888,-460.175337,-460.167671,-460.166727,-460.207765,29.594
gdb_117074,COCC(=O)C(=O)OC,4.71252,0.76472,0.6662,2.1123,67.85,-0.2536,-0.0719,0.1817,1663.4997,0.131771,-496.118029,-496.107592,-496.106648,-496.155069,34.167
gdb_45844,C1C=CCC(=O)CC1=O,2.30075,1.64663,1.0917,3.6751,75.66,-0.2478,-0.0289,0.219,1096.2145,0.136295,-421.871066,-421.863148,-421.862204,-421.903822,30.068
gdb_112639,NC1=CC(=O)C(CO)C1,3.40953,1.12795,0.88446,7.3528,77.94,-0.2285,-0.021,0.2075,1280.6338,0.148768,-439.135202,-439.126484,-439.12554,-439.168678,32.917
gdb_96238,CC1N=COCCC1O,2.35937,1.59306,1.13867,3.2855,76.65,-0.2365,0.0221,0.2586,1133.1612,0.171449,-440.288343,-440.279406,-440.278462,-440.32198,33.802
gdb_113222,CCC1OC1(C)C1CC1,3.20305,0.99205,0.85619,1.6673,86.42,-0.2574,0.0935,0.3509,1478.5717,0.203732,-388.27291,-388.262714,-388.26177,-388.308364,37.832
gdb_79282,CN1C2C3CC1C(=O)C23,2.9391,1.68173,1.51367,3.6985,74.54,-0.211,-0.0075,0.2036,950.0687,0.149924,-401.951153,-401.944156,-401.943212,-401.982275,28.517
gdb_90884,CC12CC3C(CC1O)C23,2.35882,1.9265,1.41357,1.3334,80.77,-0.2468,0.0735,0.3203,1010.3326,0.183792,-387.075556,-387.067534,-387.06659,-387.107421,32.896
gdb_35373,N#CC1NC2C3CC1C23,3.78845,1.41863,1.26033,4.8441,74.84,-0.2291,0.0316,0.2608,1004.0979,0.1392,-380.845014,-380.838173,-380.837229,-380.876282,27.58
gdb_79488,CN1C2C3OC2C13C#C,2.36201,1.91182,1.24583,1.4425,76.01,-0.2287,0.0139,0.2427,1004.9567,0.121798,-400.586011,-400.578276,-400.577332,-400.617977,30.288
gdb_57943,CC(O)C(=O)NC(N)=O,3.43215,0.92716,0.76294,6.0503,67.42,-0.2623,-0.0169,0.2455,1451.4647,0.134346,-492.34808,-492.338172,-492.337228,-492.383957,35.297
gdb_26196,CC(O)C1=NC(N)=CN1,3.73083,1.07029,0.8565,2.4874,75.77,-0.1817,0.0338,0.2155,1331.4191,0.148661,-435.307098,-435.297954,-435.297009,-435.340991,34.315
gdb_94117,OC1CCC(C1)NC=O,3.1973,0.93504,0.86438,4.7609,76.8,-0.2456,0.0364,0.2821,1406.0475,0.171849,-440.323871,-440.314579,-440.313634,-440.359793,33.744
gdb_21006,Cn1cc(c(n1)O)N,3.8058,1.77317,1.22213,1.8269,65.52,-0.1839,0.0323,0.2161,951.083,0.119805,-395.993313,-395.985072,-395.984128,-396.026112,29.31
gdb_38150,C1CC2C=CC3NC23C1,2.9055,1.78003,1.2854,1.685,82.82,-0.2209,0.0162,0.2371,1021.0734,0.174709,-366.010222,-366.00317,-366.002226,-366.041472,29.416
gdb_131876,c1c(n[nH]n1)OCCO,5.66687,0.80207,0.73524,1.4014,67.13,-0.2401,-0.0042,0.2359,1482.1583,0.125808,-471.190502,-471.182148,-471.181203,-471.224716,29.662
gdb_116041,COC1OCC=CC1C,2.50045,1.44789,1.04871,1.423,80.99,-0.2447,0.0218,0.2665,1215.9967,0.182292,-424.230144,-424.220937,-424.219992,-424.26396,34.389
gdb_2711,COCCCC=O,14.79627,0.80374,0.79071,3.0473,63.0,-0.2517,-0.0215,0.2302,1400.3342,0.145639,-346.853173,-346.844374,-346.84343,-346.887557,28.752
gdb_84058,OC1C=C(C#N)C2CC12,3.43345,1.21132,0.99705,4.044,77.09,-0.2571,-0.0513,0.2058,1159.9418,0.125328,-400.754644,-400.746848,-400.745903,-400.787031,29.705
gdb_40690,C1CC1C1CC1C1CO1,3.28826,1.03201,0.91626,1.6185,83.52,-0.2438,0.0854,0.3292,1365.1355,0.182439,-387.037159,-387.028375,-387.027431,-387.071353,33.289
gdb_108532,CCC12COC3C1OC23,2.75212,1.64171,1.23568,1.5795,73.86,-0.2367,0.0697,0.3065,1055.0951,0.159515,-422.960596,-422.952979,-422.952035,-422.992672,30.172
gdb_5064,Cc1c([nH]cc1O)C,3.22868,1.94485,1.23237,1.9823,71.97,-0.1776,0.0526,0.2301,970.2415,0.1411,-363.905266,-363.896149,-363.895205,-363.939732,32.093
gdb_128290,CNc1cc(n(n1)C)O,3.59185,1.09428,0.85509,2.2117,77.42,-0.1818,0.0525,0.2343,1346.7874,0.147746,-435.279405,-435.269677,-435.268733,-435.314814,34.189
gdb_72863,OC12CCC1C(C2)C#N,3.10352,1.20388,1.03852,5.1585,76.5,-0.2679,0.0282,0.2961,1181.2388,0.14765,-401.937513,-401.929139,-401.928195,-401.97079,31.812
gdb_33943,C#CC12NC1CN1CC21,3.39653,1.42422,1.24296,1.8619,78.97,-0.228,0.0242,0.2522,1036.7908,0.137193,-380.783988,-380.776669,-380.775725,-380.815436,29.727
gdb_2037,CC1(C)CN2CC12,4.38412,2.44968,2.16614,1.647,66.82,-0.229,0.0814,0.3104,711.3698,0.160172,-289.799552,-289.792565,-289.791621,-289.829761,27.458
gdb_10805,CC1=CCC(=O)OC1,4.88245,1.49657,1.17022,4.5181,67.8,-0.2555,0.0083,0.2638,998.3994,0.130348,-383.790371,-383.782539,-383.781594,-383.824766,27.745
gdb_21635,c1nc(nn1C=O)N,5.71764,1.50532,1.19257,2.9017,61.22,-0.2361,-0.0514,0.1847,915.9632,0.085935,-410.880435,-410.873811,-410.872867,-410.91131,24.145
gdb_123921,c1c2c(no1)NCCN2,3.54896,1.5845,1.13242,4.3913,70.99,-0.2071,0.0089,0.2161,1020.1421,0.128612,-434.053068,-434.046269,-434.045324,-434.084165,27.243
gdb_100678,CCC(C)C(C)(C)CC,2.56259,0.92705,0.84499,0.0186,98.95,-0.2881,0.0767,0.3649,1632.7353,0.272741,-354.772429,-354.760229,-354.759285,-354.809054,46.246
gdb_131349,c1(c(n[nH]c(=O)n1)O)O,3.22524,1.49553,1.02175,3.6028,60.79,-0.2403,-0.068,0.1722,1036.129,0.07921,-505.989185,-505.982106,-505.981161,-506.020851,26.837
gdb_1854,CC1OC(=N)C=C1,5.68569,2.31316,1.79424,3.4684,62.02,-0.2446,-0.029,0.2155,705.8206,0.114542,-324.606977,-324.60073,-324.599786,-324.636954,23.441
gdb_51617,C1CC12CN(C2)CC=O,5.4738,0.74103,0.71219,2.9782,81.77,-0.2249,-0.0238,0.2011,1608.246,0.169218,-403.109364,-403.100293,-403.099348,-403.144215,33.171
gdb_80389,CC1C2CC(C)(O)C12O,2.17915,1.58539,1.35407,0.8455,78.58,-0.2455,0.0729,0.3184,1101.4186,0.180005,-424.199371,-424.189654,-424.18871,-424.232796,37.831
gdb_5330,CC(C)n1ccnc1,4.38451,1.406,1.38787,4.1238,72.69,-0.2176,0.0368,0.2544,992.412,0.155169,-344.028616,-344.020655,-344.019711,-344.062091,29.246
gdb_80312,CC1C2CC(=CC12)C#N,3.4509,1.1227,1.08221,4.7554,84.82,-0.2461,-0.0414,0.2046,1187.5732,0.149083,-364.836091,-364.828074,-364.82713,-364.868623,30.804
gdb_87272,CC1NC1(C=O)C(N)=O,2.10136,1.58288,1.06046,1.5317,71.02,-0.2631,-0.0453,0.2178,1152.1378,0.135102,-455.175273,-455.166165,-455.165221,-455.209067,33.458
gdb_43591,O=C1NC(C#C)C2OC12,3.33855,1.36025,1.10969,3.7982,67.53,-0.2516,-0.0002,0.2514,1054.4505,0.100699,-436.658374,-436.650796,-436.649851,-436.690678,28.555
gdb_112068,OCC1C=CCC1C#N,2.04245,1.54909,0.9605,2.8366,77.07,-0.2566,0.0075,0.2641,1209.3342,0.148409,-401.968545,-401.959778,-401.958834,-402.002501,32.069
gdb_54459,CC(=O)C12OC1C1CC21,3.55407,1.35635,1.13047,2.1564,73.11,-0.2392,-0.0296,0.2097,1094.9989,0.133677,-421.769178,-421.761057,-421.760113,-421.80214,30.79
